CS?,Spec Name,Spec Type,Attribute Path,Attribute Type,PK?,Idx?,Lcl?,Lnk?,Min,Max,Edit?,NP?,Default,Length,Hidden?,RULE,fr_FR DisplayName
,SpecCtg_NewRef_Agent,PRIMARY_SPEC,POSITIONS/CODE_POSITION,INTEGER,,yes,,,,,,,,10,,,"Code Position"
,SpecCtg_NewRef_Agent,PRIMARY_SPEC,POSITIONS/DD_POSITION,DATE,,,,,,,,,,,,"DATEONLY|TRUE~=~DATE_FORMAT|dd/MM/yyyy","Date Début Position"
,SpecCtg_NewRef_Agent,PRIMARY_SPEC,POSITIONS/DF_POSITION,DATE,,,,,,,,,,,,"DATEONLY|TRUE~=~DATE_FORMAT|dd/MM/yyyy","Date Fin Position"
,SpecCtg_NewRef_Agent,PRIMARY_SPEC,CODE_ECHELON_ACTUEL,INTEGER,,yes,,,,,,,,10,,,"Code Echelon Actuel"
,SpecCtg_NewRef_Agent,PRIMARY_SPEC,ECHELONS,GROUPING,,,,,0,50,,,,,,,"Liste d'Echelons"
,SpecCtg_NewRef_Agent,PRIMARY_SPEC,ECHELONS/CODE_ECHELON,INTEGER,,yes,,,,,,,,10,,,"Code Echelon"
,SpecCtg_NewRef_Agent,PRIMARY_SPEC,ECHELONS/DD_ECHELON,DATE,,,,,,,,,,,,"DATEONLY|TRUE~=~DATE_FORMAT|dd/MM/yyyy","Date Début Echelon"
,SpecCtg_NewRef_Agent,PRIMARY_SPEC,ECHELONS/DF_ECHELON,DATE,,,,,,,,,,,,"DATEONLY|TRUE~=~DATE_FORMAT|dd/MM/yyyy","Date Fin Echelon"

,SpecCtg_NewRef_Agent,PRIMARY_SPEC,FAMILLES,GROUPING,,,,,0,50,,,,,,,"Liste de familles"
,SpecCtg_NewRef_Agent,PRIMARY_SPEC,FAMILLES/FAMILLE,LOOKUP_TABLE,,yes,,Lkp_NewRef_FamilleAgent,,1,,,,,,,"Famille"
,SpecCtg_NewRef_Agent,PRIMARY_SPEC,FAMILLES/DD_FAMILLE,DATE,,,,,,,,,,,,"DATEONLY|TRUE~=~DATE_FORMAT|dd/MM/yyyy","Date Début Famille"
,SpecCtg_NewRef_Agent,PRIMARY_SPEC,FAMILLES/DF_FAMILLE,DATE,,,,,,,,,,,,"DATEONLY|TRUE~=~DATE_FORMAT|dd/MM/yyyy","Date Fin Famille"

,SpecCtg_NewRef_Agent,PRIMARY_SPEC,TYPOLOGIES_AGENT,GROUPING,,,,,0,50,,,,,,,"Liste de Typologies"
,SpecCtg_NewRef_Agent,PRIMARY_SPEC,TYPOLOGIES_AGENT/TYPOLOGIE_AGENT,LOOKUP_TABLE,,yes,,Lkp_NewRef_TypologieAgent,,1,,,,,,,"Typologie Agent"
,SpecCtg_NewRef_Agent,PRIMARY_SPEC,TYPOLOGIES_AGENT/DD_TYPOLOGIE_AGENT,DATE,,,,,,,,,,,,"DATEONLY|TRUE~=~DATE_FORMAT|dd/MM/yyyy","Date Début Typologie"
,SpecCtg_NewRef_Agent,PRIMARY_SPEC,TYPOLOGIES_AGENT/DF_TYPOLOGIE_AGENT,DATE,,,,,,,,,,,,"DATEONLY|TRUE~=~DATE_FORMAT|dd/MM/yyyy","Date Fin Typologie"

,SpecCtg_NewRef_Agent,PRIMARY_SPEC,EQUIPES,GROUPING,,,,,0,50,,,,,,,"Liste d'Equipes"
,SpecCtg_NewRef_Agent,PRIMARY_SPEC,EQUIPES/EQUIPE_TRAIN,LOOKUP_TABLE,,yes,,Lkp_NewRef_EquipeTrain,,1,,,,,,,"Equipe Train"
