CS?,Container Name,Container Type,View name / Step Path,Attribute Collection,Tab name,View-only,Single Edit,Multi-Edit,Item List,Item-Popup,Location,Default?

,H_000_Generique,CATEGORY_TREE,Complète,HierAttColl_000_Generique,,,x,x,x,x,

,HRA_Agent,CATALOG,Lecture seule,CtgAttColl_HRA_Agent_FULL,,x,x,x,x,x,
,HRA_Agent,CATALOG,Complète,CtgAttColl_HRA_Agent_FULL,,,x,x,x,x,
,HRA_Agent,CATALOG,Onglets,CtgAttColl_HRA_Agent_FULL,"Général",,x,x,x,x,

,HRA_Etablissement,CATALOG,Lecture seule,CtgAttColl_HRA_Etablissement_FULL,,x,x,x,x,x,
,HRA_Etablissement,CATALOG,Complète,CtgAttColl_HRA_Etablissement_FULL,,,x,x,x,x,
,HRA_Etablissement,CATALOG,Onglets,CtgAttColl_HRA_Etablissement_FULL,"Général",,x,x,x,x,
